Frase,Tipo,Cantidad,Moneda,Categoria,Cuenta,Accion,TipoCambio,CantidadConvertida,TipoReporte,PeriodoPreset,PeriodoFrom,PeriodoTo,CategoriasFiltro,CuentasFiltro,MontoMin,MontoMax,TextoFiltro,Mensaje
I scord big on that investment,income,3000,USD,inversiones,,add_income,1.0,3000,,,,,,,,,,
I cleand up at the casino last night,income,800,USD,gambling,,add_income,1.0,800,,,,,,,,,,
I depozited 500 into my Chase account,income,500,USD,,Chase,add_income,1.0,500,,,,,,,,,,
I puld 200 from the ATM on the corner,expense,200,USD,,ATM,add_expense,1.0,200,,,,,,,,,,
I transferd 300 to my savings,ingreso,300,USD,,savings,add_income,1.0,300,,,,,,,,,,
I payd 400 with my Amex for the flight,expense,400,USD,travel,Amex,add_expense,1.0,400,,,,,,,,,,
I withdreww 100 from the Wells Fargo,expense,100,USD,,Wells Fargo,add_expense,1.0,100,,,,,,,,,,
I dumbed 500 into my Robinhood account,ingreso,500,USD,,Robinhood,add_income,1.0,500,,,,,,,,,,
I tapt my phone for 50 on the subway,expense,50,USD,transport,phone,add_expense,1.0,50,,,,,,,,,,
I venmod 30 for the pizza,gasto,30,USD,food,Venmo,add_expense,1.0,30,,,,,,,,,,
I cashapt 100 for the tickets,gasto,100,USD,entertainment,CashApp,add_expense,1.0,100,,,,,,,,,,
Compre 20 dolares en steam y me cobraron impuestos,gasto,20,USD,juegos,,add_expense,1.0,20,,,,,,,,,,
Gazte 500 en la farmacia ayer a la tarde,gasto,500,ARS,salud,,add_expense,1.0,500,,,,,,,,,,
Ayer me depositaron 3000 del laburo,ingreso,3000,ARS,salario,,add_income,1.0,3000,,,,,,,,,,
Mañana tengo que pagar 200 de la luz,gasto,200,ARS,servicios,,add_expense,1.0,200,,,,,,,,,,
La semana pasada gaste 1500 en la verduleria,gasto,1500,ARS,comida,,add_expense,1.0,1500,,,,,,,,,,
El finde me patine 3000 en ropa,gasto,3000,ARS,vestimenta,,add_expense,1.0,3000,,,,,,,,,,
Hoy cobre 5000 de un trabajo,ingreso,5000,ARS,"fre
Frase""",Tipo,add_income,1.0,5000,,,,,,,,,,
Gasté 1500 pesos argentinos en supermercado el día de hoy,gasto,1500,ARS,supermercado,,add_expense,1.0,1500,,,,,,,,,,
Realicé un gasto de 75 dólares en Netflix este mes,gasto,75,USD,streaming,,add_expense,1.0,75,,,,,,,,,,
Pagué 8500 pesos mexicanos de la colegiatura de la universidad,gasto,8500,MXN,educacion,,add_expense,1.0,8500,,,,,,,,,,
Compré alimentos por 3200 pesos colombianos en el supermercado,gasto,3200,COP,alimentacion,,add_expense,1.0,3200,,,,,,,,,,
Transferí 200 euros desde mi cuenta de débito para el alquiler,gasto,200,EUR,vivienda,debito,add_expense,1.0,200,,,,,,,,,,
Aboné 45 dólares del servicio de internet por cable,gasto,45,USD,internet,,add_expense,1.0,45,,,,,,,,,,
Desembolsé 6000 pesos argentinos en la compra de indumentaria,gasto,6000,ARS,vestimenta,,add_expense,1.0,6000,,,,,,,,,,
Efectué un pago de 120 euros por la cena en el restaurante,gasto,120,EUR,restaurante,,add_expense,1.0,120,,,,,,,,,,
Realicé una compra de 350 pesos mexicanos en la farmacia,gasto,350,MXN,salud,farmacia,add_expense,1.0,350,,,,,,,,,,
Gasté 400 dólares en pasajes aéreos para mis vacaciones,gasto,400,USD,viajes,,add_expense,1.0,400,,,,,,,,,,
Pagamos 2500 pesos colombianos en el peaje de la autopista,gasto,2500,COP,transporte,,add_expense,1.0,2500,,,,,,,,,,
Compré entradas para el cine por 480 pesos argentinos,gasto,480,ARS,entretenimiento,,add_expense,1.0,480,,,,,,,,,,
Aboné 90 dólares del gimnasio con mi tarjeta de crédito,gasto,90,USD,salud,tarjeta credito,add_expense,1.0,90,,,,,,,,,,
Gasté 15 euros en la suscripción mensual de Spotify,gasto,15,EUR,streaming,,add_expense,1.0,15,,,,,,,,,,
Realicé un gasto de 2200 pesos mexicanos en la compra de libros,gasto,2200,MXN,educacion,,add_expense,1.0,2200,,,,,,,,,,
Pagué 3200 pesos argentinos de expensas del departamento,gasto,3200,ARS,vivienda,,add_expense,1.0,3200,,,,,,,,,,
Desembolsé 150 dólares en el mantenimiento del automóvil,gasto,150,USD,automovil,,add_expense,1.0,150,,,,,,,,,,
Aboné 800 pesos colombianos en el parqueadero del centro comercial,gasto,800,COP,transporte,,add_expense,1.0,800,,,,,,,,,,
Gasté 45 euros en la compra de medicamentos recetados,gasto,45,EUR,salud,farmacia,add_expense,1.0,45,,,,,,,,,,
Pagué 1800 pesos mexicanos del recibo de luz bimestral,gasto,1800,MXN,servicios,,add_expense,1.0,1800,,,,,,,,,,
Recibí un ingreso de 45000 pesos argentinos por mi salario mensual,ingreso,45000,ARS,salario,,add_income,1.0,45000,,,,,,,,,,
Cobré 2500 dólares por un proyecto de desarrollo de software,ingreso,2500,USD,freelance,,add_income,1.0,2500,,,,,,,,,,
Me depositaron 1200 euros por el alquiler de mi propiedad,ingreso,1200,EUR,renta,,add_income,1.0,1200,,,,,,,,,,
Recibí una transferencia de 8000 pesos mexicanos de mi cliente,ingreso,8000,MXN,venta,,add_income,1.0,8000,,,,,,,,,,
Me ingresaron 350 dólares por intereses generados en el plazo fijo,ingreso,350,USD,inversiones,,add_income,1.0,350,,,,,,,,,,
Cobré 6500 pesos colombianos por la venta de un mueble usado,ingreso,6500,COP,venta,,add_income,1.0,6500,,,,,,,,,,
Recibí un reintegro de 200 euros de la obra social,ingreso,200,EUR,reembolso,,add_income,1.0,200,,,,,,,,,,
Me depositaron el aguinaldo por 15000 pesos argentinos,ingreso,15000,ARS,aguinaldo,,add_income,1.0,15000,,,,,,,,,,
Recibí 180 dólares de regalo por mi cumpleaños,ingreso,180,USD,regalo,,add_income,1.0,180,,,,,,,,,,
Me transfirieron 5200 pesos mexicanos por un trabajo de traducción,ingreso,5200,MXN,freelance,,add_income,1.0,5200,,,,,,,,,,
Cobré 950 euros de devolución de impuestos,ingreso,950,EUR,impuestos,,add_income,1.0,950,,,,,,,,,,
Recibí un ingreso de 4200 pesos colombianos por intereses bancarios,ingreso,4200,COP,inversiones,,add_income,1.0,4200,,,,,,,,,,
Me depositaron 300 dólares por la venta de mi bicicleta,ingreso,300,USD,venta,,add_income,1.0,300,,,,,,,,,,
Recibí 7500 pesos argentinos de la beca universitaria,ingreso,7500,ARS,educacion,,add_income,1.0,7500,,,,,,,,,,
Me ingresaron 1100 euros por la renta de mi cochera,ingreso,1100,EUR,renta,,add_income,1.0,1100,,,,,,,,,,
Cobré 4300 pesos mexicanos del seguro por el accidente,ingreso,4300,MXN,seguro,,add_income,1.0,4300,,,,,,,,,,
Recibí una transferencia de 600 dólares de un familiar,ingreso,600,USD,regalo,,add_income,1.0,600,,,,,,,,,,
Me depositaron 2800 pesos colombianos por un reembolso de compra,ingreso,2800,COP,reembolso,,add_income,1.0,2800,,,,,,,,,,
Cobré 900 euros del bono por productividad en mi trabajo,ingreso,900,EUR,bonificacion,,add_income,1.0,900,,,,,,,,,,
Recibí 15000 pesos argentinos por la venta de mi televisor usado,ingreso,15000,ARS,venta,,add_income,1.0,15000,,,,,,,,,,
Gasté 250 dólares en un restaurante y pagué con mi tarjeta American Express,gasto,250,USD,restaurante,American Express,add_expense,1.0,250,,,,,,,,,,
Realicé un pago de 1200 pesos mexicanos en la farmacia con mi tarjeta de débito del BBVA,gasto,1200,MXN,salud,BBVA debito,add_expense,1.0,1200,,,,,,,,,,
Compré alimentos por 4500 pesos argentinos usando la tarjeta de crédito de Galicia,gasto,4500,ARS,supermercado,Galicia credito,add_expense,1.0,4500,,,,,,,,,,
Aboné 800 euros del alquiler desde mi cuenta de ahorros de Santander,gasto,800,EUR,vivienda,Santander ahorros,add_expense,1.0,800,,,,,,,,,,
Pagué 350 dólares de las vacaciones con mi tarjeta Visa del banco Provincia,gasto,350,USD,viajes,Provincia Visa,add_expense,1.0,350,,,,,,,,,,
Transferí 6000 pesos mexicanos a mi cuenta de MercadoPago para compras diarias,ingreso,6000,MXN,,MercadoPago,add_income,1.0,6000,,,,,,,,,,
Depositaron mi salario de 52000 pesos argentinos en mi cuenta sueldo del Banco Nación,ingreso,52000,ARS,salario,Banco Nacion,add_income,1.0,52000,,,,,,,,,,
Recibí una transferencia de 1500 euros en mi cuenta de Revolut por trabajo freelance,ingreso,1500,EUR,freelance,Revolut,add_income,1.0,1500,,,,,,,,,,
Aboné 75 dólares del gimnasio con mi tarjeta Mastercard del HSBC,gasto,75,USD,salud,HSBC Mastercard,add_expense,1.0,75,,,,,,,,,,
Gasté 2300 pesos colombianos en transporte usando la tarjeta Cencosud del Banco de Bogotá,gasto,2300,COP,transporte,Banco Bogotá Cencosud,add_expense,1.0,2300,,,,,,,,,,
I spent 1500 US dollars on accommodation at the beach resort,expense,1500,USD,accommodation,,add_expense,1.0,1500,,,,,,,,,,
I paid 85 euros for the monthly electricity bill,expense,85,EUR,utilities,,add_expense,1.0,85,,,,,,,,,,
I bought groceries for 3200 Mexican pesos at the supermarket,expense,3200,MXN,groceries,,add_expense,1.0,3200,,,,,,,,,,
I made a payment of 45 dollars for my Netflix subscription,expense,45,USD,streaming,,add_expense,1.0,45,,,,,,,,,,
I spent 1200 Argentine pesos on dinner at the Italian restaurant,expense,1200,ARS,restaurant,,add_expense,1.0,1200,,,,,,,,,,
I paid 250 US dollars for flight tickets to Miami,expense,250,USD,travel,,add_expense,1.0,250,,,,,,,,,,
I purchased clothes for 3800 Colombian pesos at the mall,expense,3800,COP,clothing,,add_expense,1.0,3800,,,,,,,,,,
I paid 60 euros for my gym membership this month,expense,60,EUR,health,,add_expense,1.0,60,,,,,,,,,,
I spent 550 Mexican pesos on medication at the pharmacy,expense,550,MXN,health,,add_expense,1.0,550,,,,,,,,,,
I paid 1800 Argentine pesos for the university tuition fee,expense,1800,ARS,education,,add_expense,1.0,1800,,,,,,,,,,
I spent 95 dollars on a new video game for my console,expense,95,USD,entertainment,,add_expense,1.0,95,,,,,,,,,,
I paid 30 euros for the Spotify family plan,expense,30,EUR,streaming,,add_expense,1.0,30,,,,,,,,,,
I spent 4200 Colombian pesos on gasoline for my car,expense,4200,COP,transport,,add_expense,1.0,4200,,,,,,,,,,
I paid 150 US dollars for the internet and cable service,expense,150,USD,utilities,,add_expense,1.0,150,,,,,,,,,,
I spent 2300 Mexican pesos on books for my studies,expense,2300,MXN,education,,add_expense,1.0,2300,,,,,,,,,,
I paid 650 Argentine pesos for the hairdresser appointment,expense,650,ARS,beauty,,add_expense,1.0,650,,,,,,,,,,
I spent 180 dollars on a gift for my mother's birthday,expense,180,USD,gifts,,add_expense,1.0,180,,,,,,,,,,
I paid 95 euros for the car maintenance service,expense,95,EUR,automotive,,add_expense,1.0,95,,,,,,,,,,
I spent 2800 Colombian pesos on a family lunch at the restaurant,expense,2800,COP,restaurant,,add_expense,1.0,2800,,,,,,,,,,
I paid 120 US dollars for the water and sewage bill,expense,120,USD,utilities,,add_expense,1.0,120,,,,,,,,,,
I received an income of 85000 Argentine pesos from my monthly salary,income,85000,ARS,salary,,add_income,1.0,85000,,,,,,,,,,
I got paid 3200 US dollars for a freelance web development project,income,3200,USD,freelance,,add_income,1.0,3200,,,,,,,,,,
I received a transfer of 1500 euros for the rent of my apartment,income,1500,EUR,rent,,add_income,1.0,1500,,,,,,,,,,
I got 6500 Mexican pesos from the sale of my old laptop,income,6500,MXN,sale,,add_income,1.0,6500,,,,,,,,,,
I received 450 dollars in interest from my savings account,income,450,USD,investment,,add_income,1.0,450,,,,,,,,,,
I got paid 7200 Colombian pesos for a graphic design job,income,7200,COP,freelance,,add_income,1.0,7200,,,,,,,,,,
I received a tax refund of 950 euros from the government,income,950,EUR,tax refund,,add_income,1.0,950,,,,,,,,,,
I got my annual bonus of 25000 Argentine pesos,income,25000,ARS,bonus,,add_income,1.0,25000,,,,,,,,,,
I received 380 dollars as a birthday gift from my relatives,income,380,USD,gift,,add_income,1.0,380,,,,,,,,,,
I got a scholarship payment of 4200 Mexican pesos,income,4200,MXN,education,,add_income,1.0,4200,,,,,,,,,,
I received 1200 euros from the insurance claim,income,1200,EUR,insurance,,add_income,1.0,1200,,,,,,,,,,
I got paid 560 dollars for selling my vintage camera,income,560,USD,sale,,add_income,1.0,560,,,,,,,,,,
I received 8300 Colombian pesos from dividend payments,income,8300,COP,investment,,add_income,1.0,8300,,,,,,,,,,
I got a reimbursement of 450 Argentine pesos for a returned product,income,450,ARS,refund,,add_income,1.0,450,,,,,,,,,,
I received 2100 US dollars from my online business this month,income,2100,USD,freelance,,add_income,1.0,2100,,,,,,,,,,
I got paid 380 euros for a consulting job I did last week,income,380,EUR,freelance,,add_income,1.0,380,,,,,,,,,,
I received 5400 Mexican pesos from my rental property,income,5400,MXN,rent,,add_income,1.0,5400,,,,,,,,,,
I got a cash gift of 600 dollars for my wedding,income,600,USD,gift,,add_income,1.0,600,,,,,,,,,,
I received 1250 euros from the sale of my bicycle,income,1250,EUR,sale,,add_income,1.0,1250,,,,,,,,,,
I got my paycheck of 42000 Argentine pesos deposited in my bank account,income,42000,ARS,salary,,add_income,1.0,42000,,,,,,,,,,
I spent 350 dollars on dinner using my American Express credit card,expense,350,USD,restaurant,American Express,add_expense,1.0,350,,,,,,,,,,
I paid 1200 Mexican pesos at the pharmacy with my BBVA debit card,expense,1200,MXN,health,BBVA debit,add_expense,1.0,1200,,,,,,,,,,
I bought groceries for 5200 Argentine pesos using my Galicia credit card,expense,5200,ARS,groceries,Galicia credit,add_expense,1.0,5200,,,,,,,,,,
I paid 950 euros for rent from my Santander savings account,expense,950,EUR,housing,Santander savings,add_expense,1.0,950,,,,,,,,,,
I spent 420 dollars on flight tickets with my Citibank Visa card,expense,420,USD,travel,Citibank Visa,add_expense,1.0,420,,,,,,,,,,
I transferred 7500 Mexican pesos to my MercadoPago account,income,7500,MXN,,MercadoPago,add_income,1.0,7500,,,,,,,,,,
I received my salary of 68000 Argentine pesos in my Banco Nación checking account,income,68000,ARS,salary,Banco Nación,add_income,1.0,68000,,,,,,,,,,
I got a transfer of 2300 euros in my Revolut account for freelance work,income,2300,EUR,freelance,Revolut,add_income,1.0,2300,,,,,,,,,,
I paid 85 dollars for my gym membership with my HSBC Mastercard,expense,85,USD,health,HSBC Mastercard,add_expense,1.0,85,,,,,,,,,,
I spent 3500 Colombian pesos on transportation using my Bancolombia debit card,expense,3500,COP,transport,Bancolombia debit,add_expense,1.0,3500,,,,,,,,,,
I made a payment of 180 US dollars for the electricity bill from my Chase checking account,expense,180,USD,utilities,Chase checking,add_expense,1.0,180,,,,,,,,,,
I received 4200 euros from my client in my PayPal account for completed work,income,4200,EUR,freelance,PayPal,add_income,1.0,4200,,,,,,,,,,
I paid 1250 Mexican pesos for the internet service with my American Express card,expense,1250,MXN,utilities,American Express,add_expense,1.0,1250,,,,,,,,,,
I transferred 8000 Argentine pesos to my Brubank savings account,income,8000,ARS,,Brubank savings,add_income,1.0,8000,,,,,,,,,,
I spent 560 dollars on a new smartphone using my Wells Fargo credit card,expense,560,USD,electronics,Wells Fargo credit,add_expense,1.0,560,,,,,,,,,,
I deposited 15000 Colombian pesos into my Nequi account for daily expenses,income,15000,COP,,Nequi,add_income,1.0,15000,,,,,,,,,,
Realicé un gasto de 2300 pesos argentinos en supermercado con mi tarjeta de débito del Banco Galicia,gasto,2300,ARS,supermercado,Banco Galicia debito,add_expense,1.0,2300,,,,,,,,,,
Efectué un pago de 450 dólares por concepto de alquiler desde mi cuenta de ahorros del Banco Santander,gasto,450,USD,vivienda,Banco Santander ahorros,add_expense,1.0,450,,,,,,,,,,
Recibí un ingreso de 12500 pesos mexicanos por honorarios profesionales transferidos a mi cuenta de BBVA,ingreso,12500,MXN,freelance,BBVA,add_income,1.0,12500,,,,,,,,,,
Cobré 890 euros por la venta de un mueble y los deposité en mi cuenta de Revolut,ingreso,890,EUR,venta,Revolut,add_income,1.0,890,,,,,,,,,,
Aboné 75 dólares del servicio de streaming Netflix con mi tarjeta de crédito Visa del Banco Provincia,gasto,75,USD,streaming,Banco Provincia Visa,add_expense,1.0,75,,,,,,,,,,
Gasté 3200 pesos colombianos en combustible para mi vehículo pagando con la tarjeta de crédito del Banco de Bogotá,gasto,3200,COP,combustible,Banco de Bogotá credito,add_expense,1.0,3200,,,,,,,,,,
Me depositaron mi salario de 52000 pesos argentinos en la caja de ahorros del Banco Nación,ingreso,52000,ARS,salario,Banco Nación caja ahorros,add_income,1.0,52000,,,,,,,,,,
Transferí 1800 euros desde mi cuenta de Wise para pagar el seguro del auto,gasto,1800,EUR,seguro,Wise,add_expense,1.0,1800,,,,,,,,,,
Compré alimentos por 4300 pesos mexicanos utilizando mi tarjeta de débito de Citibanamex,gasto,4300,MXN,alimentacion,Citibanamex debito,add_expense,1.0,4300,,,,,,,,,,
Recibí un reintegro de 250 dólares en mi cuenta de PayPal por una devolución de producto,ingreso,250,USD,reembolso,PayPal,add_income,1.0,250,,,,,,,,,,
Pagué 1200 pesos argentinos de la factura de luz con la tarjeta de crédito del HSBC,gasto,1200,ARS,servicios,HSBC credito,add_expense,1.0,1200,,,,,,,,,,
Me ingresaron 600 euros por intereses de mi plazo fijo en el Banco Francés,ingreso,600,EUR,inversiones,Banco Francés,add_income,1.0,600,,,,,,,,,,
Desembolsé 5500 pesos colombianos en la farmacia usando la tarjeta de crédito de Davivienda,gasto,5500,COP,salud,Davivienda credito,add_expense,1.0,5500,,,,,,,,,,
Recibí 350 dólares por un trabajo de diseño gráfico en mi cuenta de Upwork,ingreso,350,USD,freelance,Upwork,add_income,1.0,350,,,,,,,,,,
Aboné 2200 pesos mexicanos del gimnasio con mi tarjeta American Express de Santander,gasto,2200,MXN,salud,Santander American Express,add_expense,1.0,2200,,,,,,,,,,
Gasté 150 euros en la compra de ropa en una tienda departamental,gasto,150,EUR,vestimenta,,add_expense,1.0,150,,,,,,,,,,
Ahorré 100 córdobas del vuelto de la semana,gasto,100,NIO,Savings,cash,add_expense,1.0,100,,,,,,,,,,
Transferí a ahorro 300 dólares de mi salario,gasto,300,USD,Savings,checking,add_expense,1.0,300,,,,,,,,,,
Aparté 50 dólares para el fondo de emergencias,gasto,50,USD,Savings,savings,add_expense,1.0,50,,,,,,,,,,
Guardé 20 dólares en mi alcancía,gasto,20,USD,Savings,cash,add_expense,1.0,20,,,,,,,,,,
Mandé 150 dólares a la cuenta de ahorros del banco,gasto,150,USD,Savings,checking,add_expense,1.0,150,,,,,,,,,,
Puse 2000 pesos en mi colchón para ahorrar,gasto,2000,MXN,Savings,cash,add_expense,1.0,2000,,,,,,,,,,
Saved 50 dollars from my paycheck,gasto,50,USD,Savings,checking,add_expense,1.0,50,,,,,,,,,,
Set aside 30 dollars for a new phone,gasto,30,USD,Savings,cash,add_expense,1.0,30,,,,,,,,,,
Put 100 dollars into my savings account,gasto,100,USD,Savings,savings,add_expense,1.0,100,,,,,,,,,,
Moved 40 dollars to savings for vacation,gasto,40,USD,Savings,checking,add_expense,1.0,40,,,,,,,,,,
Kept 15 dollars from the grocery change,gasto,15,USD,Savings,cash,add_expense,1.0,15,,,,,,,,,,
Added 200 dollars to my investment fund,gasto,200,USD,Savings,investment,add_expense,1.0,200,,,,,,,,,,
Reservé 80 dólares para el pago de impuestos,gasto,80,USD,Savings,checking,add_expense,1.0,80,,,,,,,,,,
Ahorré 50 mil pesos colombianos para la navidad,gasto,50000,COP,Savings,cash,add_expense,1.0,50000,,,,,,,,,,
Transferí 1000 pesos argentinos a la caja de ahorros,gasto,1000,ARS,Savings,savings,add_expense,1.0,1000,,,,,,,,,,
Guardé 300 quetzales para el viaje,gasto,300,GTQ,Savings,cash,add_expense,1.0,300,,,,,,,,,,
Puse 150 soles en mi cuenta de ahorros del banco,gasto,150,PEN,Savings,savings,add_expense,1.0,150,,,,,,,,,,
Aparté 200 bolivianos para la reparación del auto,gasto,200,BOB,Savings,cash,add_expense,1.0,200,,,,,,,,,,
Saved 10 euros from the tip I received,gasto,10,EUR,Savings,cash,add_expense,1.0,10,,,,,,,,,,
Set aside 5000 yen for the anime convention,gasto,5000,JPY,Savings,savings,add_expense,1.0,5000,,,,,,,,,,
Moved 25 pounds to my holiday fund,gasto,25,GBP,Savings,checking,add_expense,1.0,25,,,,,,,,,,
Put 1000 rupees into my emergency savings,gasto,1000,INR,Savings,savings,add_expense,1.0,1000,,,,,,,,,,
Kept 2000 kwanzas from this month's budget,gasto,2000,AOA,Savings,cash,add_expense,1.0,2000,,,,,,,,,,
Saved 50 reais for my mother's gift,gasto,50,BRL,Savings,cash,add_expense,1.0,50,,,,,,,,,,
Transfiero 1000 lempiras a mi cuenta de ahorro cada quincena,gasto,1000,HNL,Savings,checking,add_expense,1.0,1000,,,,,,,,,,
Ahorré 200 pesos uruguayos en el frasco de vidrio,gasto,200,UYU,Savings,cash,add_expense,1.0,200,,,,,,,,,,
Added 75 Canadian dollars to my emergency fund,gasto,75,CAD,Savings,savings,add_expense,1.0,75,,,,,,,,,,
Set aside 120 Swiss francs for the trip to the mountains,gasto,120,CHF,Savings,savings,add_expense,1.0,120,,,,,,,,,,
Guardé 25 dólares que me sobraron del almuerzo,gasto,25,USD,Savings,cash,add_expense,1.0,25,,,,,,,,,,
Ahorré 300 pesos chilenos en mi monedero,gasto,300,CLP,Savings,cash,add_expense,1.0,300,,,,,,,,,,
Transferí 50 mil guaraníes a mi cuenta de ahorros,gasto,50000,PYG,Savings,savings,add_expense,1.0,50000,,,,,,,,,,
Aparté 40 dólares para el concierto del próximo mes,gasto,40,USD,Savings,cash,add_expense,1.0,40,,,,,,,,,,
Mandé 200 soles a mi fondo de emergencias,gasto,200,PEN,Savings,checking,add_expense,1.0,200,,,,,,,,,,
Puse 100 córdobas en mi alcancía de cerdito,gasto,100,NIO,Savings,cash,add_expense,1.0,100,,,,,,,,,,
Ahorré 150 pesos mexicanos del cambio del supermercado,gasto,150,MXN,Savings,cash,add_expense,1.0,150,,,,,,,,,,
Reservé 75 dólares para el pago del seguro,gasto,75,USD,Savings,checking,add_expense,1.0,75,,,,,,,,,,
Guardé 500 pesos colombianos en la lata de galletas,gasto,500,COP,Savings,cash,add_expense,1.0,500,,,,,,,,,,
Transferí 60 quetzales a mi cuenta de ahorro del banco,gasto,60,GTQ,Savings,savings,add_expense,1.0,60,,,,,,,,,,
Aparté 30 dólares para comprar un regalo de cumpleaños,gasto,30,USD,Savings,cash,add_expense,1.0,30,,,,,,,,,,
Saved 100 dollars from my freelance work,gasto,100,USD,Savings,checking,add_expense,1.0,100,,,,,,,,,,
Put 45 euros aside for the electricity bill,gasto,45,EUR,Savings,savings,add_expense,1.0,45,,,,,,,,,,
Moved 60 pounds to my savings account for a house,gasto,60,GBP,Savings,checking,add_expense,1.0,60,,,,,,,,,,
Set aside 2000 yen for the train pass,gasto,2000,JPY,Savings,cash,add_expense,1.0,2000,,,,,,,,,,
Kept 15 dollars in my wallet for emergencies,gasto,15,USD,Savings,cash,add_expense,1.0,15,,,,,,,,,,
Added 3000 rupees to my fixed deposit,gasto,3000,INR,Savings,investment,add_expense,1.0,3000,,,,,,,,,,
Saved 50 Australian dollars for the weekend trip,gasto,50,AUD,Savings,savings,add_expense,1.0,50,,,,,,,,,,
Put 120 reais into my vacation fund,gasto,120,BRL,Savings,savings,add_expense,1.0,120,,,,,,,,,,
Transferred 2000 Kenyan shillings to my savings account,gasto,2000,KES,Savings,checking,add_expense,1.0,2000,,,,,,,,,,
Ahorré 40 dólares canadienses para comprar un abrigo,gasto,40,CAD,Savings,cash,add_expense,1.0,40,,,,,,,,,,
Guardé 1500 pesos argentinos en el cajón de mi escritorio,gasto,1500,ARS,Savings,cash,add_expense,1.0,1500,,,,,,,,,,
Aparté 80 soles para la consulta del médico,gasto,80,PEN,Savings,cash,add_expense,1.0,80,,,,,,,,,,
Transferí 300 bolivianos a mi cuenta de ahorros para la universidad,gasto,300,BOB,Savings,savings,add_expense,1.0,300,,,,,,,,,,
Puse 200 pesos uruguayos en mi fondo para mascotas,gasto,200,UYU,Savings,cash,add_expense,1.0,200,,,,,,,,,,
Reservé 50 dólares para el mantenimiento del auto,gasto,50,USD,Savings,checking,add_expense,1.0,50,,,,,,,,,,
Saved 25 Swiss francs for the ski lift ticket,gasto,25,CHF,Savings,cash,add_expense,1.0,25,,,,,,,,,,
Set aside 1000 Norwegian kroner for Christmas gifts,gasto,1000,NOK,Savings,savings,add_expense,1.0,1000,,,,,,,,,,
Moved 3000 Czech koruna to my travel fund,gasto,3000,CZK,Savings,checking,add_expense,1.0,3000,,,,,,,,,,
Kept 2000 Hungarian forints for the restaurant reservation,gasto,2000,HUF,Savings,cash,add_expense,1.0,2000,,,,,,,,,,
Ahorré 50 dólares del reembolso de impuestos,gasto,50,USD,Savings,checking,add_expense,1.0,50,,,,,,,,,,
Guardé 200 pesos dominicanos para una emergencia,gasto,200,DOP,Savings,cash,add_expense,1.0,200,,,,,,,,,,
Transferí 100 soles a mi cuenta de ahorro del banco,gasto,100,PEN,Savings,savings,add_expense,1.0,100,,,,,,,,,,
Aparté 30 dólares para la cena de aniversario,gasto,30,USD,Savings,cash,add_expense,1.0,30,,,,,,,,,,
Puse 500 pesos mexicanos en mi fondo para la escuela,gasto,500,MXN,Savings,savings,add_expense,1.0,500,,,,,,,,,,
Mandé 80 quetzales a mi alcancía de ahorros,gasto,80,GTQ,Savings,cash,add_expense,1.0,80,,,,,,,,,,
Reservé 120 dólares para el pago del teléfono,gasto,120,USD,Savings,checking,add_expense,1.0,120,,,,,,,,,,
Ahorré 1000 pesos colombianos en mi cartera,gasto,1000,COP,Savings,cash,add_expense,1.0,1000,,,,,,,,,,
Guardé 15 dólares del cambio del lavado de ropa,gasto,15,USD,Savings,cash,add_expense,1.0,15,,,,,,,,,,
Transferí 40 mil lempiras a mi cuenta de ahorros,gasto,40000,HNL,Savings,savings,add_expense,1.0,40000,,,,,,,,,,
Aparté 200 pesos argentinos para el cine,gasto,200,ARS,Savings,cash,add_expense,1.0,200,,,,,,,,,,
Saved 30 dollars from the refund at the store,gasto,30,USD,Savings,cash,add_expense,1.0,30,,,,,,,,,,
Put 75 euros into my emergency fund jar,gasto,75,EUR,Savings,cash,add_expense,1.0,75,,,,,,,,,,
Moved 50 pounds to my savings for a laptop,gasto,50,GBP,Savings,checking,add_expense,1.0,50,,,,,,,,,,
Set aside 100 dollars from my bonus,gasto,100,USD,Savings,savings,add_expense,1.0,100,,,,,,,,,,
Kept 20 dollars from the yard sale earnings,gasto,20,USD,Savings,cash,add_expense,1.0,20,,,,,,,,,,
Added 500 Swedish kronor to my travel fund,gasto,500,SEK,Savings,savings,add_expense,1.0,500,,,,,,,,,,
Saved 80 Canadian dollars for the camping trip,gasto,80,CAD,Savings,cash,add_expense,1.0,80,,,,,,,,,,
Put 1500 yen into my coin collection jar,gasto,1500,JPY,Savings,cash,add_expense,1.0,1500,,,,,,,,,,
Transferred 4000 Philippine pesos to my savings account,gasto,4000,PHP,Savings,checking,add_expense,1.0,4000,,,,,,,,,,
Ahorré 60 dólares del trabajo extra del fin de semana,gasto,60,USD,Savings,checking,add_expense,1.0,60,,,,,,,,,,
Guardé 300 pesos chilenos en mi billetera,gasto,300,CLP,Savings,cash,add_expense,1.0,300,,,,,,,,,,
Aparté 90 soles para el mantenimiento de la bicicleta,gasto,90,PEN,Savings,cash,add_expense,1.0,90,,,,,,,,,,
Transferí 150 bolivianos a mi cuenta de ahorros,gasto,150,BOB,Savings,savings,add_expense,1.0,150,,,,,,,,,,
Puse 40 dólares en mi fondo para libros,gasto,40,USD,Savings,savings,add_expense,1.0,40,,,,,,,,,,
Reservé 25 dólares para la suscripción mensual,gasto,25,USD,Savings,checking,add_expense,1.0,25,,,,,,,,,,
